Batchnumber,D loss,Dec loss,G loss,ber loss
127,0.6153007745742798,0.6931483745574951,0.6944902539253235,tensor([0.5005])
128,0.6160601377487183,0.6931400895118713,0.6943820714950562,tensor([0.4954])
129,0.6156545877456665,0.6931445598602295,0.6943709850311279,tensor([0.4983])
130,0.6155078411102295,0.6931425929069519,0.6944755911827087,tensor([0.4972])
131,0.6167627573013306,0.6931482553482056,0.6942997574806213,tensor([0.5004])
132,0.6164491176605225,0.6931441426277161,0.6943151354789734,tensor([0.4981])
133,0.6154330968856812,0.6931462287902832,0.6943981051445007,tensor([0.4993])
134,0.6153106093406677,0.6931390166282654,0.694559633731842,tensor([0.4955])
135,0.6149094700813293,0.6931518912315369,0.694448709487915,tensor([0.5021])
136,0.6149885654449463,0.6931498050689697,0.6944248080253601,tensor([0.5012])
137,0.6158180236816406,0.6931410431861877,0.6942424774169922,tensor([0.4965])
138,0.6153700351715088,0.6931419372558594,0.6944243311882019,tensor([0.4972])
139,0.6147858500480652,0.6931370496749878,0.6945123076438904,tensor([0.4949])
140,0.6142162084579468,0.6931571960449219,0.6945332288742065,tensor([0.5044])
141,0.6163196563720703,0.693140983581543,0.6942796111106873,tensor([0.4968])
142,0.614322304725647,0.6931653022766113,0.694443941116333,tensor([0.5089])
143,0.6150718927383423,0.6931605339050293,0.6944093704223633,tensor([0.5078])
144,0.6142812967300415,0.6931435465812683,0.6944292187690735,tensor([0.4974])
145,0.6147907972335815,0.6931463479995728,0.694479763507843,tensor([0.4992])
146,0.615757405757904,0.6931480765342712,0.69437175989151,tensor([0.5004])
147,0.614930272102356,0.6931558847427368,0.6944221258163452,tensor([0.5059])
148,0.6142332553863525,0.6931474208831787,0.6943953037261963,tensor([0.5000])
149,0.6143112182617188,0.6931444406509399,0.6944878101348877,tensor([0.4978])
150,0.6141806840896606,0.6931487321853638,0.6945706009864807,tensor([0.5009])
151,0.6150614023208618,0.6931439638137817,0.6943491697311401,tensor([0.4976])
152,0.615286648273468,0.6931455135345459,0.6944172382354736,tensor([0.4987])
153,0.6151242256164551,0.693144679069519,0.6943988800048828,tensor([0.4981])
154,0.614045262336731,0.6931488513946533,0.6944612264633179,tensor([0.5009])
155,0.6146766543388367,0.6931514739990234,0.6943508982658386,tensor([0.5029])
156,0.6142512559890747,0.6931378841400146,0.6943797469139099,tensor([0.4934])
157,0.6136847734451294,0.6931408643722534,0.6944966316223145,tensor([0.4960])
158,0.6145488023757935,0.6931513547897339,0.6944578886032104,tensor([0.5023])
159,0.6148868799209595,0.6931540966033936,0.6942452192306519,tensor([0.5043])
160,0.6147081851959229,0.6931536197662354,0.694351315498352,tensor([0.5045])
161,0.6133833527565002,0.6931489706039429,0.6943846940994263,tensor([0.5013])
